agent_id,name,description,type,platform,system_prompt,file_system,code_evaluation,sql_database,skills,metrics,ask_user_to_clarify,widgets,memory,inject_bootstrap_files,scheduler,topology,tools,subagents,input_artifacts,output_artifacts,approval_policy,eval_policy,owner_role
TASK_CAMPAIGN_EXECUTION,Campaign Execution Agent,创建营销活动草案、灰度执行计划和调度任务。,Task,Process Agent Platform,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,Y,N,N/A,SKILL_CAMPAIGN_ORCHESTRATION;SKILL_EXECUTION_AUDIT,N,N,N,Y,N,Y,Y,T_CAMPAIGN_DRAFT;T_SCHEDULER_ADD_MESSAGE;T_AUDIT_LOG,UTIL_CAMPAIGN_DRAFT_BUILDER;UTIL_SCHEDULER;UTIL_AUDIT_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
TASK_SA_FOLLOWUP_TASKING,Store Associate Tasking Agent,向门店导购或客服创建可解释跟进任务。,Task,Process Agent Platform,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,N,N,N/A,SKILL_CLIENTELING_TASKING;SKILL_EXECUTION_AUDIT,N,N,N,Y,N,N,Y,T_CRM_TASK_CREATE;T_AUDIT_LOG,UTIL_CRM_TASK_CREATOR;UTIL_CONTENT_TEMPLATE_RENDERER;UTIL_AUDIT_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
TASK_SERVICE_RECOVERY_PLAYBOOK,Service Recovery Playbook Agent,为投诉、退货、负向情绪客户生成服务修复方案。,Task,Both,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,N,N,retail_cdp_demo.sqlite,SKILL_CONTEXT_ASSEMBLY;SKILL_OFFER_POLICY;SKILL_EXECUTION_AUDIT,N,N,N,Y,N,N,Y,T_SQL_QUERY;T_OFFER_ALLOCATE;T_CRM_TASK_CREATE;T_AUDIT_LOG,UTIL_SQL_QUERY;UTIL_GUARDRAIL_VALIDATOR;UTIL_CRM_TASK_CREATOR;UTIL_AUDIT_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
TASK_EFFECT_MEASUREMENT,Effect Measurement Agent,衡量活动、导购和服务动作的归因、增量和异常。,Task,Data Agent Platform,你是Data Agent平台上的零售CDP能力Agent。只基于授权SQL、指标和输入Artifact推理；所有分群、评分和结论必须给出口径、样本量、SQL或可复现规则；不得直接执行外部触达动作。,N,Y,retail_cdp_demo.sqlite,SKILL_MEASUREMENT_ATTRIBUTION,Y,N,Y,Y,N,N,Y,T_SQL_QUERY;T_METRICS_QUERY;T_WIDGET_RENDER,UTIL_SQL_QUERY;UTIL_METRIC_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
TASK_CONSENT_POLICY_CHECK,Consent Policy Check Agent,在任何触达或工单前检查许可、退订、频控、预算和风险策略。,Task,Both,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,N,N,retail_cdp_demo.sqlite,SKILL_CONSENT_GUARDRAIL,N,N,N,Y,N,N,Y,T_CONSENT_CHECK;T_AUDIT_LOG,UTIL_CONSENT_CHECK;UTIL_GUARDRAIL_VALIDATOR;UTIL_AUDIT_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_SQL_QUERY,SQL Query Utility,执行只读SQL并返回样本量、字段、结果和查询审计。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_CONTEXT_ASSEMBLY,Y,N,N,N,N,N,N,T_SQL_QUERY,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_IDENTITY_RESOLUTION,Identity Resolution Utility,基于hash ID和会员ID解析Customer 360实体。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_CONTEXT_ASSEMBLY,Y,N,N,N,N,N,N,T_PROFILE_GET,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_RFM_COMPUTATION,RFM Computation Utility,计算RFM、生命周期和价值分层。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_CHURN_RISK_SCORING,Y,N,N,N,N,N,N,T_SQL_QUERY,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_SEGMENT_RULE_BUILDER,Segment Rule Builder Utility,把自然语言目标转成结构化分群规则和SQL条件。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_AUDIENCE_DISCOVERY,Y,N,N,N,N,N,N,T_SEGMENT_MATERIALIZE,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_PROPENSITY_SCORE,Propensity Score Utility,计算流失、补货、VIP和转化倾向分。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_CHURN_RISK_SCORING,Y,N,N,N,N,N,N,T_PROPENSITY_SCORE,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_PRODUCT_AFFINITY,Product Affinity Utility,计算客户品类偏好和商品候选集。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_NBA_STRATEGY_DESIGN,Y,N,N,N,N,N,N,T_PRODUCT_RECOMMEND,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_INVENTORY_CHECK,Inventory Check Utility,检查推荐商品在客户常用门店和区域库存。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_NBA_STRATEGY_DESIGN,Y,N,N,N,N,N,N,T_SQL_QUERY,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_NBA_RULE_ENGINE,NBA Rule Engine Utility,根据业务规则合并推荐、权益、渠道和时机。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_NBA_STRATEGY_DESIGN,Y,N,N,N,N,N,N,T_PRODUCT_RECOMMEND;T_OFFER_ALLOCATE,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
UTIL_COUPON_BUDGET_CALC,Coupon Budget Calculator Utility,计算券面额、预算消耗和毛利保护线。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_OFFER_POLICY,N,N,N,N,N,N,N,T_OFFER_ALLOCATE,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_CONSENT_CHECK,Consent Check Utility,检查营销许可、退订、渠道许可和频控。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_CONSENT_GUARDRAIL,N,N,N,N,N,N,N,T_CONSENT_CHECK,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_CONTENT_TEMPLATE_RENDERER,Content Template Renderer Utility,将Offer、商品和客户上下文渲染成渠道内容。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,Y,N,N/A,SKILL_CONTENT_VARIANT_GENERATION,N,N,N,N,N,N,N,T_CONTENT_RENDER,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_CHANNEL_CONNECTOR,Channel Connector Utility,生成渠道预览、发送包或第三方平台草案。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_CHANNEL_TIMING_OPTIMIZATION,N,N,N,N,N,N,N,T_CHANNEL_PREVIEW,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_CAMPAIGN_DRAFT_BUILDER,Campaign Draft Builder Utility,创建活动草案、旅程节点和审批包。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,Y,N,N/A,SKILL_CAMPAIGN_ORCHESTRATION,N,N,N,N,N,N,N,T_CAMPAIGN_DRAFT,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_CRM_TASK_CREATOR,CRM Task Creator Utility,创建导购、客服或运营CRM任务。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_CLIENTELING_TASKING,N,N,N,N,N,N,N,T_CRM_TASK_CREATE,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_SCHEDULER,Scheduler Utility,把未来工作排入addMessage回流队列。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_CAMPAIGN_ORCHESTRATION,N,N,N,N,N,Y,N,T_SCHEDULER_ADD_MESSAGE,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_GUARDRAIL_VALIDATOR,Guardrail Validator Utility,执行合规、预算、频控、库存和审批规则。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_CONSENT_GUARDRAIL,N,N,N,N,N,N,N,T_CONSENT_CHECK;T_AUDIT_LOG,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_AUDIT_LOGGER,Audit Logger Utility,记录Agent调用链、输入输出摘要和策略结果。,Utility,Process Agent Platform,你是原子流程能力Agent。只完成一个明确的系统动作或Artifact转换，必须保证幂等、可回滚、可审计，并在策略不满足时返回policy_blocked。,N,N,N/A,SKILL_EXECUTION_AUDIT,N,N,N,N,N,N,N,T_AUDIT_LOG,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
UTIL_METRIC_LOGGER,Metric Logger Utility,写入和查询观测指标、评估分和业务结果。,Utility,Data Agent Platform,你是原子数据能力Agent。只完成一个明确的数据操作，返回结构化结果、查询口径、异常和审计信息。禁止自行扩大权限、改变业务目标或调用未授权下游。,N,Y,retail_cdp_demo.sqlite,SKILL_MEASUREMENT_ATTRIBUTION,Y,N,N,N,N,N,N,T_METRICS_QUERY,,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event",Return policy_blocked when rule fails,golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
