from_agent_id,to_agent_id,allowed,purpose,delegation_contract,non_technical_description
ORCH_DORMANT_REACTIVATION,TASK_AUDIENCE_DISCOVERY,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_AUDIENCE_DISCOVERY，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_CAMPAIGN_EXECUTION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_CAMPAIGN_EXECUTION，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_EFFECT_MEASUREMENT,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_EFFECT_MEASUREMENT，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_CONSENT_POLICY_CHECK,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_CONSENT_POLICY_CHECK，但不能绕过治理检查。
ORCH_VIP_CLIENTELING,TASK_AUDIENCE_DISCOVERY,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,VIP Clienteling Orchestrator 可以把明确子任务交给 TASK_AUDIENCE_DISCOVERY，但不能绕过治理检查。
ORCH_VIP_CLIENTELING,TASK_PRODUCT_RECOMMENDATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,VIP Clienteling Orchestrator 可以把明确子任务交给 TASK_PRODUCT_RECOMMENDATION，但不能绕过治理检查。
ORCH_VIP_CLIENTELING,TASK_CONTENT_GENERATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,VIP Clienteling Orchestrator 可以把明确子任务交给 TASK_CONTENT_GENERATION，但不能绕过治理检查。
ORCH_VIP_CLIENTELING,TASK_SA_FOLLOWUP_TASKING,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,VIP Clienteling Orchestrator 可以把明确子任务交给 TASK_SA_FOLLOWUP_TASKING，但不能绕过治理检查。
ORCH_VIP_CLIENTELING,TASK_EFFECT_MEASUREMENT,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,VIP Clienteling Orchestrator 可以把明确子任务交给 TASK_EFFECT_MEASUREMENT，但不能绕过治理检查。
ORCH_VIP_CLIENTELING,TASK_CONSENT_POLICY_CHECK,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,VIP Clienteling Orchestrator 可以把明确子任务交给 TASK_CONSENT_POLICY_CHECK，但不能绕过治理检查。
ORCH_SERVICE_RECOVERY,TASK_SERVICE_RECOVERY_PLAYBOOK,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Orchestrator 可以把明确子任务交给 TASK_SERVICE_RECOVERY_PLAYBOOK，但不能绕过治理检查。
ORCH_SERVICE_RECOVERY,TASK_OFFER_OPTIMIZATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Orchestrator 可以把明确子任务交给 TASK_OFFER_OPTIMIZATION，但不能绕过治理检查。
ORCH_SERVICE_RECOVERY,TASK_SA_FOLLOWUP_TASKING,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Orchestrator 可以把明确子任务交给 TASK_SA_FOLLOWUP_TASKING，但不能绕过治理检查。
ORCH_SERVICE_RECOVERY,TASK_EFFECT_MEASUREMENT,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Orchestrator 可以把明确子任务交给 TASK_EFFECT_MEASUREMENT，但不能绕过治理检查。
ORCH_SERVICE_RECOVERY,TASK_CONSENT_POLICY_CHECK,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Orchestrator 可以把明确子任务交给 TASK_CONSENT_POLICY_CHECK，但不能绕过治理检查。
TASK_AUDIENCE_DISCOVERY,UTIL_SQL_QUERY,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Audience Discovery Agent 可以把明确子任务交给 UTIL_SQL_QUERY，但不能绕过治理检查。
TASK_AUDIENCE_DISCOVERY,UTIL_IDENTITY_RESOLUTION,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Audience Discovery Agent 可以把明确子任务交给 UTIL_IDENTITY_RESOLUTION，但不能绕过治理检查。
TASK_AUDIENCE_DISCOVERY,UTIL_SEGMENT_RULE_BUILDER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Audience Discovery Agent 可以把明确子任务交给 UTIL_SEGMENT_RULE_BUILDER，但不能绕过治理检查。
TASK_AUDIENCE_DISCOVERY,UTIL_METRIC_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Audience Discovery Agent 可以把明确子任务交给 UTIL_METRIC_LOGGER，但不能绕过治理检查。
TASK_CHURN_RISK_SCORING,UTIL_SQL_QUERY,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Churn Risk Scoring Agent 可以把明确子任务交给 UTIL_SQL_QUERY，但不能绕过治理检查。
TASK_CHURN_RISK_SCORING,UTIL_RFM_COMPUTATION,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Churn Risk Scoring Agent 可以把明确子任务交给 UTIL_RFM_COMPUTATION，但不能绕过治理检查。
TASK_CHURN_RISK_SCORING,UTIL_PROPENSITY_SCORE,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Churn Risk Scoring Agent 可以把明确子任务交给 UTIL_PROPENSITY_SCORE，但不能绕过治理检查。
TASK_CHURN_RISK_SCORING,UTIL_METRIC_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Churn Risk Scoring Agent 可以把明确子任务交给 UTIL_METRIC_LOGGER，但不能绕过治理检查。
TASK_PRODUCT_RECOMMENDATION,UTIL_SQL_QUERY,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Product Recommendation Agent 可以把明确子任务交给 UTIL_SQL_QUERY，但不能绕过治理检查。
TASK_PRODUCT_RECOMMENDATION,UTIL_PRODUCT_AFFINITY,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Product Recommendation Agent 可以把明确子任务交给 UTIL_PRODUCT_AFFINITY，但不能绕过治理检查。
TASK_PRODUCT_RECOMMENDATION,UTIL_INVENTORY_CHECK,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Product Recommendation Agent 可以把明确子任务交给 UTIL_INVENTORY_CHECK，但不能绕过治理检查。
TASK_PRODUCT_RECOMMENDATION,UTIL_NBA_RULE_ENGINE,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Product Recommendation Agent 可以把明确子任务交给 UTIL_NBA_RULE_ENGINE，但不能绕过治理检查。
TASK_OFFER_OPTIMIZATION,UTIL_COUPON_BUDGET_CALC,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Offer Optimization Agent 可以把明确子任务交给 UTIL_COUPON_BUDGET_CALC，但不能绕过治理检查。
TASK_OFFER_OPTIMIZATION,UTIL_GUARDRAIL_VALIDATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Offer Optimization Agent 可以把明确子任务交给 UTIL_GUARDRAIL_VALIDATOR，但不能绕过治理检查。
TASK_OFFER_OPTIMIZATION,UTIL_METRIC_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Offer Optimization Agent 可以把明确子任务交给 UTIL_METRIC_LOGGER，但不能绕过治理检查。
TASK_CHANNEL_TIMING_SELECTION,UTIL_CONSENT_CHECK,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Channel Timing Agent 可以把明确子任务交给 UTIL_CONSENT_CHECK，但不能绕过治理检查。
TASK_CHANNEL_TIMING_SELECTION,UTIL_CHANNEL_CONNECTOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Channel Timing Agent 可以把明确子任务交给 UTIL_CHANNEL_CONNECTOR，但不能绕过治理检查。
TASK_CHANNEL_TIMING_SELECTION,UTIL_GUARDRAIL_VALIDATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Channel Timing Agent 可以把明确子任务交给 UTIL_GUARDRAIL_VALIDATOR，但不能绕过治理检查。
TASK_CONTENT_GENERATION,UTIL_CONTENT_TEMPLATE_RENDERER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Content Generation Agent 可以把明确子任务交给 UTIL_CONTENT_TEMPLATE_RENDERER，但不能绕过治理检查。
TASK_CONTENT_GENERATION,UTIL_GUARDRAIL_VALIDATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Content Generation Agent 可以把明确子任务交给 UTIL_GUARDRAIL_VALIDATOR，但不能绕过治理检查。
TASK_CAMPAIGN_EXECUTION,UTIL_CAMPAIGN_DRAFT_BUILDER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Campaign Execution Agent 可以把明确子任务交给 UTIL_CAMPAIGN_DRAFT_BUILDER，但不能绕过治理检查。
TASK_CAMPAIGN_EXECUTION,UTIL_SCHEDULER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Campaign Execution Agent 可以把明确子任务交给 UTIL_SCHEDULER，但不能绕过治理检查。
TASK_CAMPAIGN_EXECUTION,UTIL_AUDIT_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Campaign Execution Agent 可以把明确子任务交给 UTIL_AUDIT_LOGGER，但不能绕过治理检查。
TASK_SA_FOLLOWUP_TASKING,UTIL_CRM_TASK_CREATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Store Associate Tasking Agent 可以把明确子任务交给 UTIL_CRM_TASK_CREATOR，但不能绕过治理检查。
TASK_SA_FOLLOWUP_TASKING,UTIL_CONTENT_TEMPLATE_RENDERER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Store Associate Tasking Agent 可以把明确子任务交给 UTIL_CONTENT_TEMPLATE_RENDERER，但不能绕过治理检查。
TASK_SA_FOLLOWUP_TASKING,UTIL_AUDIT_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Store Associate Tasking Agent 可以把明确子任务交给 UTIL_AUDIT_LOGGER，但不能绕过治理检查。
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_SQL_QUERY,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Playbook Agent 可以把明确子任务交给 UTIL_SQL_QUERY，但不能绕过治理检查。
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_GUARDRAIL_VALIDATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Playbook Agent 可以把明确子任务交给 UTIL_GUARDRAIL_VALIDATOR，但不能绕过治理检查。
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_CRM_TASK_CREATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Playbook Agent 可以把明确子任务交给 UTIL_CRM_TASK_CREATOR，但不能绕过治理检查。
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_AUDIT_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Service Recovery Playbook Agent 可以把明确子任务交给 UTIL_AUDIT_LOGGER，但不能绕过治理检查。
TASK_EFFECT_MEASUREMENT,UTIL_SQL_QUERY,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Effect Measurement Agent 可以把明确子任务交给 UTIL_SQL_QUERY，但不能绕过治理检查。
TASK_EFFECT_MEASUREMENT,UTIL_METRIC_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Effect Measurement Agent 可以把明确子任务交给 UTIL_METRIC_LOGGER，但不能绕过治理检查。
TASK_CONSENT_POLICY_CHECK,UTIL_CONSENT_CHECK,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Consent Policy Check Agent 可以把明确子任务交给 UTIL_CONSENT_CHECK，但不能绕过治理检查。
TASK_CONSENT_POLICY_CHECK,UTIL_GUARDRAIL_VALIDATOR,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Consent Policy Check Agent 可以把明确子任务交给 UTIL_GUARDRAIL_VALIDATOR，但不能绕过治理检查。
TASK_CONSENT_POLICY_CHECK,UTIL_AUDIT_LOGGER,Y,能力Agent调用原子Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Consent Policy Check Agent 可以把明确子任务交给 UTIL_AUDIT_LOGGER，但不能绕过治理检查。
