product_id,sku,product_name,category,subcategory,brand_line,gender,season,unit_price,replenishment_cycle_days,launch_date,is_hero_sku
PRD0029,APP-TEE-002,速干短袖2代,Apparel,Tee,Core,Male,Festival,355.31,107,2025-12-16,N
PRD0030,APP-TEE-003,速干短袖3代,Apparel,Tee,Urban,Female,Festival,216.23,135,2025-05-01,N
PRD0031,APP-TEE-004,速干短袖4代,Apparel,Tee,Core,Female,FW25,263.54,107,2026-05-25,N
PRD0032,APP-TEE-005,速干短袖5代,Apparel,Tee,Performance,Male,FW25,360.62,120,2025-06-27,N
PRD0033,APP-TEE-006,速干短袖6代,Apparel,Tee,Performance,Female,SS26,296.94,125,2025-06-19,N
PRD0034,APP-TEE-007,速干短袖7代,Apparel,Tee,Performance,Unisex,Core,391.51,113,2025-07-13,N
PRD0035,APP-TEE-008,速干短袖8代,Apparel,Tee,Urban,Female,SS26,233.42,129,2026-02-09,N
PRD0036,APP-TEE-009,速干短袖9代,Apparel,Tee,Core,Male,Core,359.94,132,2026-03-12,Y
PRD0037,ACC-BAG-001,通勤托特包1代,Accessories,Bag,Performance,Female,FW25,531.45,358,2026-01-28,N
PRD0038,ACC-BAG-002,通勤托特包2代,Accessories,Bag,Urban,Female,SS26,457.54,373,2026-04-06,N
PRD0039,ACC-BAG-003,通勤托特包3代,Accessories,Bag,Performance,Male,SS26,685.21,361,2024-09-22,N
PRD0040,ACC-BAG-004,通勤托特包4代,Accessories,Bag,Premium,Female,Core,561.8,385,2024-05-13,N
PRD0041,ACC-BAG-005,通勤托特包5代,Accessories,Bag,Urban,Unisex,FW25,379.86,383,2024-06-05,N
PRD0042,ACC-BAG-006,通勤托特包6代,Accessories,Bag,Urban,Female,Festival,471.23,369,2024-10-10,N
PRD0043,ACC-BAG-007,通勤托特包7代,Accessories,Bag,Core,Male,FW25,466.09,373,2025-01-25,N
PRD0044,ACC-BAG-008,通勤托特包8代,Accessories,Bag,Urban,Male,Festival,640.34,352,2025-03-14,N
PRD0045,ACC-BAG-009,通勤托特包9代,Accessories,Bag,Premium,Male,Core,559.98,377,2025-07-13,N
PRD0046,ACC-SOC-001,运动中筒袜1代,Accessories,Socks,Premium,Unisex,SS26,75.23,39,2024-06-02,N
PRD0047,ACC-SOC-002,运动中筒袜2代,Accessories,Socks,Core,Unisex,Core,80.8,47,2025-08-11,N
PRD0048,ACC-SOC-003,运动中筒袜3代,Accessories,Socks,Performance,Female,SS26,94.61,32,2024-09-18,N
PRD0049,ACC-SOC-004,运动中筒袜4代,Accessories,Socks,Urban,Unisex,SS26,88.64,37,2026-03-06,N
PRD0050,ACC-SOC-005,运动中筒袜5代,Accessories,Socks,Core,Male,Festival,80.02,45,2025-11-06,Y
PRD0051,ACC-SOC-006,运动中筒袜6代,Accessories,Socks,Urban,Unisex,Core,93.12,33,2024-05-12,N
PRD0052,ACC-SOC-007,运动中筒袜7代,Accessories,Socks,Core,Unisex,SS26,80.35,59,2025-12-20,N
PRD0053,ACC-SOC-008,运动中筒袜8代,Accessories,Socks,Core,Unisex,Festival,62.29,32,2024-06-04,N
PRD0054,ACC-SOC-009,运动中筒袜9代,Accessories,Socks,Performance,Female,FW25,83.36,48,2026-05-01,N
PRD0055,BEA-SKI-001,修护精华1代,Beauty,Skincare,Performance,Female,FW25,433.02,59,2024-06-30,N
PRD0056,BEA-SKI-002,修护精华2代,Beauty,Skincare,Core,Female,Festival,516.08,69,2024-10-13,N
PRD0057,BEA-SKI-003,修护精华3代,Beauty,Skincare,Premium,Unisex,Festival,621.24,62,2024-08-25,N
PRD0058,BEA-SKI-004,修护精华4代,Beauty,Skincare,Urban,Male,SS26,419.78,73,2025-07-15,N
PRD0059,BEA-SKI-005,修护精华5代,Beauty,Skincare,Premium,Male,SS26,369.05,75,2025-08-03,N
PRD0060,BEA-SKI-006,修护精华6代,Beauty,Skincare,Urban,Unisex,SS26,556.75,59,2024-06-18,N
PRD0061,BEA-SKI-007,修护精华7代,Beauty,Skincare,Urban,Male,Festival,516.06,75,2024-09-28,N
PRD0062,BEA-SKI-008,修护精华8代,Beauty,Skincare,Core,Female,Core,484.0,72,2024-12-03,Y
PRD0063,BEA-SKI-009,修护精华9代,Beauty,Skincare,Core,Male,SS26,351.51,65,2026-06-06,N
PRD0064,BEA-MAK-001,持妆粉底液1代,Beauty,Makeup,Urban,Unisex,FW25,332.01,85,2025-04-26,N
PRD0065,BEA-MAK-002,持妆粉底液2代,Beauty,Makeup,Premium,Female,FW25,299.29,108,2024-10-31,N
PRD0066,BEA-MAK-003,持妆粉底液3代,Beauty,Makeup,Premium,Female,SS26,440.6,78,2026-04-23,N
PRD0067,BEA-MAK-004,持妆粉底液4代,Beauty,Makeup,Urban,Male,Festival,298.53,91,2024-12-15,N
PRD0068,BEA-MAK-005,持妆粉底液5代,Beauty,Makeup,Urban,Male,Festival,481.55,86,2025-07-25,N
PRD0069,BEA-MAK-006,持妆粉底液6代,Beauty,Makeup,Urban,Female,Core,377.5,99,2025-06-25,N
PRD0070,BEA-MAK-007,持妆粉底液7代,Beauty,Makeup,Core,Unisex,SS26,334.06,79,2025-04-30,Y
PRD0071,BEA-MAK-008,持妆粉底液8代,Beauty,Makeup,Core,Male,Core,523.89,88,2025-08-01,N
PRD0072,BEA-MAK-009,持妆粉底液9代,Beauty,Makeup,Premium,Unisex,FW25,470.7,92,2025-03-05,N
